id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,thong_tin_ap_dung,tinh_trang_hieu_luc
112025,"Nghị định số 73/2016/NĐ-CP Quy định chi tiết thi hành Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm",73/2016/NĐ-CP,01/07/2016,Nghị định,01/07/2016,,,,Tài chính,Chưa phân loại,Chính phủ,Thủ tướng,Nguyễn Xuân Phúc,Trung ương,,Hết hiệu lực một phần
163441,Nghị định số 46/2023/NĐ-CP Quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm,46/2023/NĐ-CP,01/07/2023,Nghị định,01/07/2023,,,13/03/2026,Tài chính,Bảo hiểm,Chính phủ,Phó Thủ tướng Chính phủ,Lê Minh Khái,Trung ương,,Hết hiệu lực một phần
168220,"Thông tư số 27/2024/TT-NHNN Quy định về việc ngân hàng hợp tác xã, việc trích nộp, quản lý và sử dụng Quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân",27/2024/TT-NHNN,28/06/2024,Thông tư,01/07/2024,,bản gốc,03/07/2026,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đào Minh Tú,Trung ương,,Hết hiệu lực một phần
169221,"Thông tư số 43/2024/TT-NHNN sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 10 tháng 12 năm 2014 của Thống đốc Ngân hàng Nhà nước Việt Nam hướng dẫn việc tổ chức thực hiện hoạt đọng quản lý dự trữ ngoại hối nhà nước.",43/2024/TT-NHNN,09/08/2024,Thông tư,23/09/2024,,bản gốc,,Ngân hàng,Quản lý ngoại hối,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Phạm Thanh Hà,Trung ương,,Còn hiệu lực
95652,Nghị định số 135/2015/NĐ-CP Quy định về đầu tư gián tiếp ra nước ngoài,135/2015/NĐ-CP,31/12/2015,Nghị định,15/02/2016,,,,Ngân hàng,Chưa phân loại,Chính phủ,Thủ tướng Chính phủ,Nguyễn Tấn Dũng,Trung ương,,Hết hiệu lực một phần
173695,"Thông tư số 56/2024/TT-NHNN Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài",56/2024/TT-NHNN,24/12/2024,Thông tư,24/12/2024,,bản gốc,,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Hết hiệu lực một phần
112924,"Thông tư số 105/2016/TT-BTC Hướng dẫn hoạt động đầu tư gián tiếp ra nước ngoài của tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán và doanh nghỉệp kinh doanh bảo hỉểm",105/2016/TT-BTC,29/06/2016,Thông tư,15/08/2016,,văn bản gốc,,Tài chính,Chưa phân loại,Bộ Tài chính,Thứ trưởng,Trần Xuân Hà,Trung ương,,Hết hiệu lực một phần
174218,"Thông tư số 62/2024/TT-NHNN Quy định điều kiện, hồ sơ, thủ tục chấp thuận việc tổ chức lại ngân hàng thương mại, tổ chức tín dụng phi ngân hàng",62/2024/TT-NHNN,31/12/2024,Thông tư,17/02/2025,,bản gốc,,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Hết hiệu lực một phần
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,"Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài",52/VBHN-NHNN,21/05/2026,Văn bản hợp nhất,,,,,,,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Chưa xác định
185630,"Thông tư số 63/2025/TT-NHNN Sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng nhân dân",63/2025/TT-NHNN,31/12/2025,Thông tư,16/02/2026,,bản gốc,,Lao động - Thương binh và Xã hội,"Lao động, tiền lương, tiền công",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Còn hiệu lực
