id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,thong_tin_ap_dung,tinh_trang_hieu_luc
166170,Luật Các tổ chức tín dụng số 32/2024/QH15,32/2024/QH15,18/01/2024,Luật,01/07/2024,,bản gốc,01/06/2026,Ngân hàng,Tín dụng,Quốc hội,Chủ tịch Quốc hội,Vương Đình Huệ,Trung ương,,Hết hiệu lực một phần
112025,"Nghị định số 73/2016/NĐ-CP Quy định chi tiết thi hành Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm",73/2016/NĐ-CP,01/07/2016,Nghị định,01/07/2016,,,,Tài chính,Chưa phân loại,Chính phủ,Thủ tướng,Nguyễn Xuân Phúc,Trung ương,,Hết hiệu lực một phần
38128,"Thông tư số 37/2014/TT-NHNN Quy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam",37/2014/TT-NHNN,26/11/2014,Thông tư,12/01/2015,,,,Ngân hàng,Phát hành và kho quỹ,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đào Minh Tú,Trung ương,,Hết hiệu lực một phần
26750,Luật Kiểm toán độc lập số 67/2011/QH12,67/2011/QH12,29/03/2011,Luật,01/01/2012,,"Công báo số 419+420, năm 2011",25/07/2011,Tài chính,Chưa phân loại,Quốc hội,Chủ tịch Quốc hội,Nguyễn Phú Trọng,Trung ương,,Hết hiệu lực một phần
163441,Nghị định số 46/2023/NĐ-CP Quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm,46/2023/NĐ-CP,01/07/2023,Nghị định,01/07/2023,,,13/03/2026,Tài chính,Bảo hiểm,Chính phủ,Phó Thủ tướng Chính phủ,Lê Minh Khái,Trung ương,,Hết hiệu lực một phần
146468,Nghị định số 156/2020/NĐ-CP Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán,156/2020/NĐ-CP,31/12/2020,Nghị định,01/01/2021,,,,Tài chính,Chứng khoán,Chính phủ,Thủ tướng,Nguyễn Xuân Phúc,Trung ương,,Hết hiệu lực một phần
168220,"Thông tư số 27/2024/TT-NHNN Quy định về việc ngân hàng hợp tác xã, việc trích nộp, quản lý và sử dụng Quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân",27/2024/TT-NHNN,28/06/2024,Thông tư,01/07/2024,,bản gốc,03/07/2026,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đào Minh Tú,Trung ương,,Hết hiệu lực một phần
133858,Nghị định số 05/2019/NĐ-CP Về kiểm toán nội bộ,05/2019/NĐ-CP,22/01/2019,Nghị định,01/04/2019,,,,Kiểm toán,Chưa phân loại,Chính phủ,Thủ tướng,Nguyễn Xuân Phúc,Trung ương,,Còn hiệu lực
169221,"Thông tư số 43/2024/TT-NHNN sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 10 tháng 12 năm 2014 của Thống đốc Ngân hàng Nhà nước Việt Nam hướng dẫn việc tổ chức thực hiện hoạt đọng quản lý dự trữ ngoại hối nhà nước.",43/2024/TT-NHNN,09/08/2024,Thông tư,23/09/2024,,bản gốc,,Ngân hàng,Quản lý ngoại hối,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Phạm Thanh Hà,Trung ương,,Còn hiệu lực
95652,Nghị định số 135/2015/NĐ-CP Quy định về đầu tư gián tiếp ra nước ngoài,135/2015/NĐ-CP,31/12/2015,Nghị định,15/02/2016,,,,Ngân hàng,Chưa phân loại,Chính phủ,Thủ tướng Chính phủ,Nguyễn Tấn Dũng,Trung ương,,Hết hiệu lực một phần
f69936f0-6937-11f1-a48d-29bc6b0fd706,Văn bản hợp nhất Nghị định số 156/2020/NĐ-CP Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán,17/VBHN-BTC,13/05/2026,Văn bản hợp nhất,,,,,,,Bộ Tài chính,Thứ trưởng,Nguyễn Đức Chi,Trung ương,,Chưa xác định
30402,"Thông tư số 202/2012/TT-BTC Hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán",202/2012/TT-BTC,19/11/2012,Thông tư,01/03/2013,,"Công báo số 177+178, năm 2013",29/03/2013,Chưa phân loại,Quản lý dịch vụ tài chính và các quỹ tài chính,Bộ Tài chính,Thứ trưởng,Trần Xuân Hà,Trung ương,,Hết hiệu lực một phần
173460,"Thông tư số 57/2024/TT-NHNN Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng",57/2024/TT-NHNN,24/12/2024,Thông tư,24/12/2024,,bản gốc,,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đoàn Thái Sơn,Trung ương,,Hết hiệu lực một phần
27257,"Thông tư số 44/2011/TT-NHNN Quy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",44/2011/TT-NHNN,29/12/2011,Thông tư,12/02/2012,01/01/2027,"Công báo số 101+102, năm 2012",17/01/2012,Lao động - Thương binh và Xã hội,Chưa phân loại,Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Trần Minh Tuấn,Trung ương,,Hết hiệu lực một phần
143217,Thông tư số 66/2020/TT-BTC Ban hành Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp,66/2020/TT-BTC,10/07/2020,Thông tư,01/09/2020,,Bản chính văn bản,,,Chưa phân loại,Bộ Tài chính,,,Trung ương,,Còn hiệu lực
168859,Thông tư số 29/2024/TT-NHNN Quy định về quỹ tín dụng nhân dân,29/2024/TT-NHNN,28/06/2024,Thông tư,01/07/2024,,bản gốc,,Ngân hàng,"Thanh tra, giám sát ngân hàng",Ngân hàng Nhà nước Việt Nam,Phó Thống đốc,Đào Minh Tú,Trung ương,,Hết hiệu lực một phần
