chunk_id,document_id,text,source_file,title,so_ky_hieu,loai_van_ban,co_quan_ban_hanh,ngay_ban_hanh,chapter,section,article,citation,allowed_roles
doc_44209_quy_định_chung_0,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Quy định chung
NGÂN HÀNG NHÀ NƯỚC 
          VIỆT NAM
          -------
CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
          Độc lập - Tự do - Hạnh phúc 
          ---------------
Số: 01/2014/TT-NHNN
Hà Nội, ngày 06 tháng 01 năm 2014
THÔNG TƯ
Quy định về giao nhận, bảo quản, vận chuyển
tiền mặt, tài sản quý, giấy tờ có giá
Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;
Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010;
Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11 tháng 11 năm 2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;
Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02 tháng 5 năm 2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ thống Ngân hàng Nhà nước, tổ chức tín dụng và chi nhánh ngân hàng nước ngoài;
Theo đề nghị của Cục trưởng Cục Phát hành và Kho quỹ;
Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương I
      QUY ĐỊNH CHUNG",,Quy định chung,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Quy định chung | doc_44209_quy_định_chung_0]","[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_44209_điều_1__phạm_vi_điều_chỉnh_1,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 1. Phạm vi điều chỉnh
Điều 1. Phạm vi điều chỉnh
1. Thông tư này quy định việc giao nhận, bảo quản, vận chuyển; kiểm tra, kiểm kê, bàn giao, xử lý thừa thiếu tiền mặt, tài sản quý, giấy tờ có giá trong ngành Ngân hàng; việc thu, chi tiền mặt giữa Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài và khách hàng.
2. Việc đóng gói, niêm phong, kiểm đếm, giao nhận vàng, các loại kim khí quý, đá quý và các tài sản quý khác không thuộc phạm vi điều chỉnh của Thông tư này.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương I
      QUY ĐỊNH CHUNG",,Điều 1. Phạm vi điều chỉnh,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 1. Phạm vi điều chỉnh | doc_44209_điều_1__phạm_vi_điều_chỉnh_1]","[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_44209_điều_2__đối_tượng_áp_dụng_2,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 2. Đối tượng áp dụng
Điều 2. Đối tượng áp dụng
1. Ngân hàng Nhà nước Việt Nam (sau đây gọi tắt là Ngân hàng Nhà nước).
2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài.
3. Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương I
      QUY ĐỊNH CHUNG",,Điều 2. Đối tượng áp dụng,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 2. Đối tượng áp dụng | doc_44209_điều_2__đối_tượng_áp_dụng_2]","[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_44209_điều_3__giải_thích_từ_ngữ_3,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 3. Giải thích từ ngữ
Điều 3. Giải thích từ ngữ
Trong Thông tư này, các từ ngữ dưới đây được hiểu như sau:
1. “Tiền mặt” là các loại tiền giấy, tiền kim loại do Ngân hàng Nhà nước phát hành.
2. “Tiền giấy” bao gồm tiền cotton và tiền polymer do Ngân hàng Nhà nước phát hành.
3. “Tài sản quý” bao gồm vàng, kim khí quý, đá quý, ngoại tệ tiền mặt và các loại tài sản quý khác.
4. “Giấy tờ có giá” bao gồm trái phiếu, tín phiếu và các loại giấy tờ có giá khác theo quy định của pháp luật.
5. “Tờ” là đơn vị về số lượng của tiền giấy, ngoại tệ tiền mặt, giấy tờ có giá.
6. “Miếng” là đơn vị về số lượng của tiền kim loại.
7. “Niêm phong” là việc sử dụng giấy niêm phong và/ hoặc kẹp chì để ghi dấu hiệu trên bó, túi, hộp, bao, thùng tiền đã được đóng gói theo quy định, đảm bảo bó, túi, hộp, bao, thùng tiền được giữ nguyên, đầy đủ.
8. “Kẹp chì” là một phương pháp niêm phong sử dụng kìm chuyên dùng kẹp hai đầu dây đã buộc miệng túi, bao, thùng tiền qua viên chì. Sau khi kẹp, dấu hiệu tên, ký hiệu riêng của đơn vị có tiền phải nổi rõ, đầy đủ trên bề mặt viên chì.
9. “Khách hàng” là cá nhân, tổ chức, doanh nghiệp ngoài ngành Ngân hàng có giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài.
TÀI SẢN QUÝ, GIẤY TỜ CÓ GIÁ
TÀI SẢN QUÝ, GIẤY TỜ CÓ GIÁ",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương II
      KIỂM ĐẾM, ĐÓNG GÓI VÀ GIAO NHẬN TIỀN MẶT,","Mục 1
      QUY ĐỊNH VỀ ĐÓNG GÓI NIÊM PHONG TIỀN MẶT,",Điều 3. Giải thích từ ngữ,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 3. Giải thích từ ngữ | doc_44209_điều_3__giải_thích_từ_ngữ_3]","[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_44209_điều_4__đóng_gói_tiền_mặt_4,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 4. Đóng gói tiền mặt
Điều 4. Đóng gói tiền mặt
1. Một bó tiền gồm 1.000 (một nghìn) tờ tiền giấy cùng mệnh giá, cùng chất liệu được đóng thành 10 (mười) thếp, mỗi thếp gồm 100 (một trăm) tờ.
2. Một bao tiền gồm 20 (hai mươi) bó tiền cùng mệnh giá, cùng chất liệu.
3. Một túi tiền gồm 1.000 (một nghìn) miếng tiền kim loại đã qua lưu thông, cùng mệnh giá được đóng thành 20 (hai mươi) thỏi, mỗi thỏi gồm 50 (năm mươi) miếng.
4. Một hộp tiền gồm 2.000 (hai nghìn) miếng tiền kim loại mới đúc, cùng mệnh giá được đóng thành 40 (bốn mươi) thỏi, mỗi thỏi gồm 50 (năm mươi) miếng.
5. Một thùng tiền kim loại gồm 10 (mười) túi tiền cùng mệnh giá.
Đối với kho tiền Trung ương và kho tiền Ngân hàng Nhà nước chi nhánh tỉnh Bình Định, một thùng tiền kim loại gồm:
a) 50 (năm mươi) túi tiền loại mệnh giá 5.000 đồng;
b) 75 (bảy mươi lăm) túi tiền loại mệnh giá 2.000 đồng; 1.000 đồng; 500 đồng;
c) 100 (một trăm) túi tiền loại mệnh giá 200 đồng.
6. Cục trưởng Cục Phát hành và Kho quỹ hướng dẫn quy cách đóng gói tiền mặt.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương II
      KIỂM ĐẾM, ĐÓNG GÓI VÀ GIAO NHẬN TIỀN MẶT,","Mục 1
      QUY ĐỊNH VỀ ĐÓNG GÓI NIÊM PHONG TIỀN MẶT,",Điều 4. Đóng gói tiền mặt,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 4. Đóng gói tiền mặt | doc_44209_điều_4__đóng_gói_tiền_mặt_4]","[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_44209_điều_5__niêm_phong_tiền_mặt_5,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 5. Niêm phong tiền mặt
Điều 5. Niêm phong tiền mặt
1. Giấy niêm phong bó tiền là loại giấy mỏng, kích thước phù hợp với từng loại tiền và được in sẵn một số nội dung. Ngân hàng Nhà nước sử dụng giấy niêm phong màu trắng, mực in màu đen. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài được sử dụng màu giấy hoặc màu mực riêng trên giấy niêm phong sau khi thống nhất mẫu giấy niêm phong với Ngân hàng Nhà nước.
2. Trên giấy niêm phong bó, túi, hộp, bao, thùng tiền phải có đầy đủ, rõ ràng các nội dung sau: tên ngân hàng; loại tiền; số lượng (tờ, miếng, bó, túi) tiền; số tiền; họ tên và chữ ký của người kiểm đếm, đóng gói; ngày, tháng, năm đóng gói niêm phong.
3. Người có tên, chữ ký trên giấy niêm phong phải chịu trách nhiệm về bó, túi, hộp, bao, thùng tiền đã niêm phong.
4. Quy định niêm phong bao, túi, thùng tiền của Ngân hàng Nhà nước:
a) Kẹp chì đối với tiền mới in;
b) Kẹp chì kèm giấy niêm phong đối với tiền đã qua lưu thông.
5. Niêm phong tiền mới in:
a) Trên giấy niêm phong gói tiền mới in (10 bó) gồm các nội dung: cơ sở in, đúc tiền; loại tiền; số sêri; tên hoặc số hiệu của người đóng gói, đóng bao; năm sản xuất;
b) Trên bao tiền gồm các nội dung: ký hiệu loại tiền, năm sản xuất, sêri hoặc mã vạch bao tiền.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương II
      KIỂM ĐẾM, ĐÓNG GÓI VÀ GIAO NHẬN TIỀN MẶT,","Mục 1
      QUY ĐỊNH VỀ ĐÓNG GÓI NIÊM PHONG TIỀN MẶT,",Điều 5. Niêm phong tiền mặt,"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 5. Niêm phong tiền mặt | doc_44209_điều_5__niêm_phong_tiền_mặt_5]","[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_44209_điều_6__đóng_gói__niêm_phong_tài_sản_quý__giấy_tờ_có_giá_6,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 6. Đóng gói, niêm phong tài sản quý, giấy tờ có giá
Điều 6. Đóng gói, niêm phong tài sản quý, giấy tờ có giá
1. Việc đóng gói, niêm phong ngoại tệ, giấy tờ có giá thực hiện như đóng gói, niêm phong tiền mặt.
2. Việc đóng gói, niêm phong, kiểm đếm, giao nhận vàng, các loại kim khí quý, đá quý và các tài sản quý khác được quy định tại một văn bản riêng.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương II
      KIỂM ĐẾM, ĐÓNG GÓI VÀ GIAO NHẬN TIỀN MẶT,","Mục 2 
      KIỂM ĐẾM VÀ GIAO NHẬN TIỀN MẶT, NGOẠI TỆ, GIẤY TỜ CÓ GIÁ","Điều 6. Đóng gói, niêm phong tài sản quý, giấy tờ có giá","[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 6. Đóng gói, niêm phong tài sản quý, giấy tờ có giá | doc_44209_điều_6__đóng_gói__niêm_phong_tài_sản_quý__giấy_tờ_có_giá_6]","[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_44209_điều_7__nguyên_tắc_thu__chi_tiền_mặt__ngoại_tệ__giấy_tờ_có_giá_7,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 7. Nguyên tắc thu, chi tiền mặt, ngoại tệ, giấy tờ có giá
Điều 7. Nguyên tắc thu, chi tiền mặt, ngoại tệ, giấy tờ có giá
1. Mọi khoản thu, chi tiền mặt, ngoại tệ, giấy tờ có giá của Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài phải thực hiện thông qua quỹ của đơn vị.
2. Thu, chi tiền mặt, ngoại tệ, giấy tờ có giá phải căn cứ vào chứng từ kế toán. Trước khi thu, chi phải kiểm soát tính hợp lệ, hợp pháp của chứng từ kế toán.
Tiền mặt, ngoại tệ, giấy tờ có giá thu vào hay chi ra phải đủ, đúng với tổng số tiền (bằng số và bằng chữ), khớp đúng về thời gian (ngày, tháng, năm) trên chứng từ kế toán, sổ kế toán, sổ quỹ. Sau khi thu và trước khi chi tiền mặt, chứng từ kế toán phải có chữ ký của người nộp (hay lĩnh tiền) và thủ quỹ hoặc thủ kho tiền hoặc nhân viên thu, chi tiền mặt.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương II
      KIỂM ĐẾM, ĐÓNG GÓI VÀ GIAO NHẬN TIỀN MẶT,","Mục 2 
      KIỂM ĐẾM VÀ GIAO NHẬN TIỀN MẶT, NGOẠI TỆ, GIẤY TỜ CÓ GIÁ","Điều 7. Nguyên tắc thu, chi tiền mặt, ngoại tệ, giấy tờ có giá","[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 7. Nguyên tắc thu, chi tiền mặt, ngoại tệ, giấy tờ có giá | doc_44209_điều_7__nguyên_tắc_thu__chi_tiền_mặt__ngoại_tệ__giấy_tờ_có_giá_7]","[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_44209_điều_8__bảng_kê_các_loại_tiền_thu__hoặc_chi_8,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 8. Bảng kê các loại tiền thu (hoặc chi)
Điều 8. Bảng kê các loại tiền thu (hoặc chi)
Mỗi chứng từ kế toán thu (hoặc chi) tiền mặt, ngoại tệ, giấy tờ có giá phải lập kèm theo một Bảng kê các loại tiền thu (hoặc chi) hoặc một biên bản giao nhận. Bảng kê, biên bản giao nhận được bảo quản theo quy định.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương II
      KIỂM ĐẾM, ĐÓNG GÓI VÀ GIAO NHẬN TIỀN MẶT,","Mục 2 
      KIỂM ĐẾM VÀ GIAO NHẬN TIỀN MẶT, NGOẠI TỆ, GIẤY TỜ CÓ GIÁ",Điều 8. Bảng kê các loại tiền thu (hoặc chi),"[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 8. Bảng kê các loại tiền thu (hoặc chi) | doc_44209_điều_8__bảng_kê_các_loại_tiền_thu__hoặc_chi_8]","[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_44209_điều_9__kiểm_đếm_tiền_mặt__ngoại_tệ__giấy_tờ_có_giá_9,44209,"Văn bản: Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá (Số ký hiệu: 01/2014/TT-NHNN)
Điều 9. Kiểm đếm tiền mặt, ngoại tệ, giấy tờ có giá
Điều 9. Kiểm đếm tiền mặt, ngoại tệ, giấy tờ có giá
1. Khi thu, chi tiền mặt, ngoại tệ, giấy tờ có giá phải được kiểm đếm chính xác.
2. Người nộp hoặc lĩnh tiền mặt, ngoại tệ, giấy tờ có giá phải chứng kiến khi ngân hàng kiểm đếm hoặc kiểm đếm lại trước khi rời khỏi quầy chi của ngân hàng.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",01/2014/TT-NHNN,Thông tư,Ngân hàng Nhà nước Việt Nam,06/01/2014,"Chương II
      KIỂM ĐẾM, ĐÓNG GÓI VÀ GIAO NHẬN TIỀN MẶT,","Mục 2 
      KIỂM ĐẾM VÀ GIAO NHẬN TIỀN MẶT, NGOẠI TỆ, GIẤY TỜ CÓ GIÁ","Điều 9. Kiểm đếm tiền mặt, ngoại tệ, giấy tờ có giá","[01/2014/TT-NHNN - Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá | Điều 9. Kiểm đếm tiền mặt, ngoại tệ, giấy tờ có giá | doc_44209_điều_9__kiểm_đếm_tiền_mặt__ngoại_tệ__giấy_tờ_có_giá_9]","[""Admin"", ""Risk_Manager"", ""Staff""]"
